Source,Prediction,Reference
"Well, what if you combined these two functions","Vâng, nếu bạn kết hợp hai chức năng này",vậy điều gì xảy ra khi bạn kết hợp hai chức năng
"And I managed it, I was very good at it.","Và tôi đã quản lý nó, tôi rất tốt.",Và tôi xoay xở được khá tốt.
the artist is in the district.,người nghệ sĩ ở quận.,người nghệ sĩ ở trong quận.
"Antibiotic drugs attack TB bacteria, but a small number survive by going dormant.","Thuốc kháng sinh tấn công vi khuẩn TB, nhưng một số nhỏ sống sót bằng cách đi nghỉ ngơi.","Thuốc kháng sinh tấn công vi khuẩn lao, nhưng một số nhỏ tồn tại bằng cách không hoạt động."
Because one of these affects only me.,Vì một trong những tác động này chỉ ảnh hưởng đến tôi.,"Vì việc này không chỉ ảnh hưởng đến tôi,"
we all know this expression.,chúng ta đều biết sự tượng trưng này.,chúng tôi đều biết biểu hiện này.
what is the book about?,cuốn sách là gì?,quyển sách nói về cái gì?
we should be able to go all the way from a parking lot in California,chúng ta có thể đi từ một đường băng ở California,chúng ta sẽ có thể đi toàn bộ đoạn đường từ một điểm đỗ xe ở Calìornia
A synestia is what a planet becomes,Một synestia là hành tinh trở thành,Synestia là trạng thái mà hành tinh đạt đến
and five months ahead in reading.,và năm tháng trước khi đọc.,và năm tháng đi trước về môn đọc.
""" I feel like he was not treated fairly .",""" Tôi cảm thấy như anh ấy không được điều trị công bằng .",Tôi cảm thấy như anh ấy đã không được đối xử công bằng .
They're at the restaurant looking at the menu.,Họ đang ở nhà hàng nhìn vào thực đơn.,Họ đang xem thực đơn ở trong nhà hàng.
I love people with PXE.,Tôi yêu những người với PXE.,Tôi yêu những người bị PXE.
"Combined with the data on effort,","Cùng với dữ liệu về nỗ lực,","Kết hợp với dữ liệu đã thu nhận,"
through engaging with unfamiliar perspectives.,thông qua việc tập trung với những góc nhìn không quen thuộc.,thông qua việc tìm hiểu những quan điểm trái chiều
I want you to open your eyes.,Tôi muốn bạn mở mắt.,"Tôi muốn các bạn mở rộng tầm mắt,"
8 . Be patient .,8 . Bạn nên biết .,8 . Hãy kiên nhẫn .
"I grew up in a working-class family,","Tôi lớn lên trong một gia đình làm việc,","Tôi lớn lên trong gia đình thuộc tầng lớp lao động,"
"The children slept for 8 hours every night on average , regardless of their BMI.","Trẻ em ngủ trung bình 8 tiếng mỗi đêm , bất kể BMI của họ .","Trẻ em ngủ bình quân 8 tiếng đồng hồ mỗi đêm , bất kể BMI của họ ."
you have to be the owner of the video,bạn phải là chủ sở hữu video,bạn phải là người sở hữu video đó
"And so one day we were hanging out in her living room,","Và một ngày chúng tôi đang tập trung trong phòng khách,","Một hôm, khi chúng tôi đang chơi ở phòng khách nhà cô ấy"
I didn't have to study yesterday.,Tôi không phải học ngày hôm qua.,Tôi đã không đi học ngày hôm qua.
and it turns out it was neither one.,và hóa ra nó không phải là một.,"và hóa ra, không phải cả hai thứ này."
"people have to walk, typically tens of kilometers,","mọi người phải đi bộ, thường là hàng chục km,","mọi người phải đi bộ, hàng chục cây số,"
""" If children are bored they wo n't listen and they wo n't read it - they will go and get another book , "" she says .",""" Nếu trẻ chán , chúng sẽ không nghe và không đọc - họ sẽ đi và mua một quyển sách khác , "" cô nói .",""" Nếu bọn trẻ không thích thì chúng sẽ không nghe và sẽ không đọc nó - chúng sẽ đi lấy quyển sách khác , "" bà nói ."
"When I say not made by hand, this is what I mean.","Khi tôi nói không được tạo ra bằng tay, đây là ý tôi.","Khi tôi nói không bằng tay, đây là ý của tôi."
"Dr Antoni Ribas , a professor of haematology/oncology and a researcher at the Jonsson Cancer Center at the University of California-Los Angeles , said : "" This study shows that Zelboraf changes the natural history of this disease .","Tiến sĩ Antoni Ribas , giáo sư về khoa học tạo lực và nhà nghiên cứu tại Trung tâm Ung thư Jonsson tại Đại học California- Los Angeles , cho biết : "" Nghiên cứu này cho thấy Zelboraf thay đổi lịch sử tự nhiên của căn bệnh này .","Tiến sĩ Antoni Ribas , một giáo sư thuộc khoa huyết học // ung thư học và là nhà nghiên cứu tại Viện Ung thư Jonsson thuộc trường đại học ở California-Los Angeles cho biết "" Nghiên cứu này cho thấy loại thuốc Zelboraf làm thay đổi lịch sử tự nhiên của căn bệnh ."
"The largest number, 11 million, are from Syria.","Số lượng lớn nhất, 11 triệu người, là từ Syria.",Số lượng lớn nhất là 11 triệu người từ Syria.
"but more importantly,","nhưng quan trọng hơn,","nhưng quan trọng hơn,"
I lost hope.,Tôi đã mất hy vọng.,Tôi đã mất hết hy vọng.
Causes of diarrhea,Nguyên nhân gây tiêu chảy,Nguyên nhân gây tiêu chảy
and hundreds of species not known to be there.,và hàng trăm loài không biết được ở đó.,và hàng trăm loài khác chưa từng được biết đến.
""" I 'm serious . """,""" Tôi nghiêm túc . """,""" Anh nói thật đấy "" ,"
"""I've never mentioned before that I've had depression, but I have,","""Tôi chưa bao giờ đề cập đến rằng tôi đã bị trầm cảm, nhưng tôi có,","''Trước đó, tôi chưa từng nói về bệnh trầm cảm của mình, bây giờ khác,"
"""Muriello told an audience at Facebook's 'Compassion Research Day' that a lot of people in the company were """"very excited"""" about the 'sympathise' button but that """"it was not exactly the right time to launch that product"""".""",""" Muriello chia sẻ với khán giả tại ngày ""Theo ngày Nghiên cứu Mãi lòng"" của Facebook rằng nhiều người trong công ty """"rất hào hứng"""" về nút ""sympathise"" nhưng """"đó không phải là thời điểm đúng đắn để ra mắt sản phẩm"""".""",Muriello nói với khán thính giả tại “Compassion Research Day” (Ngày nghiên cứu Lòng trắc ẩn) của Facebook rằng rất nhiều người “háo hức” về nút “đồng cảm” tuy chưa phải là thời điểm thích hợp để đưa ra sản phẩm này.
Hồng Diễm was a model before she became an actress.,Hồng Diễm là một mô hình trước khi cô trở thành một diễn viên.,Hồng Diễm vốn là một người mẫu trước khi cô trở thành một nữ diễn viên.
I was helping lead a research study about preschoolers and websites.,Tôi đang giúp đỡ một nghiên cứu về những người trẻ sơ sinh và trang web.,"Lúc đó, tôi đang giúp phụ trách một nghiên cứu về trẻ mẫu giáo và web."
"One of the areas that can store charge in a MOS switch is the area between the impurities added to a chip 's silicon and the silicon substrate itself , which is free of impurities .","Một trong những khu vực có thể lưu trữ tiền trong một nút MOS là khu vực giữa các tiền được thêm vào silicon của chip và bản thân tổng tiền  silicon , không có tiền .",Một trong các vùng có thể lưu trữ điện tích trong một công tắc MOS là một vùng giữa các tạp chất được thêm vào silicon của một con chip và chất nền silicon của nó mà không có tạp chất .
to explain how they were organized.,để giải thích cách họ tổ chức.,để giải thích cách tổ chức của họ.
"This is not my mother,","Đây không phải là mẹ tôi,","Đây không phải là mẹ tôi,"
"Google officials released the company 's Chrome Operating System to open source for developers to begin testing , but said end users would not be able to use this Web operating system until late 2010 .","Các quan chức của Google đã phát hành Hệ điều hành Chrome của công ty để mở nguồn nguồn cho các nhà phát triển bắt đầu thử nghiệm , nhưng cho biết người dùng kết thúc sẽ không thể sử dụng hệ điều hành Web này cho đến cuối năm 2010 .","Google phát hành chính thức HĐH Chrome sang mã nguồn mở cho các nhà phát triển để bắt đầu thử nghiệm , nhưng cho biết người dùng cuối vẫn chưa có thể sử dụng hệ điều hành web này cho đến cuối năm 2010 ."
"With a modern and vibrant urban life, the city enthralls visitors with the esthetic charm of its historical architecture and artistic cityscape.","Với cuộc sống thành thị hiện đại và siêu sáng, thành phố này đã tạo nên những du khách với sự phong phú của kiến trúc lịch sử và thành phố nghệ thuật.","Với cuộc sống đô thị hiện đại và sôi nổi, thành phố mê hoặc du khách với nét đẹp kiến trúc lịch sử và cảnh quan thành phố đầy nghệ thuật."
"hydrogen, carbon, oxygen and nitrogen.","hydrogen, carbon, oxy và nitơ.","hydro, carbon, oxy và nitơ."
"convert those zeroes and ones to A's, T's, C's and G's,","chuyển những 0 và 0 đến A, T, C, và G,","chuyển từ 0 và 1 sang A, T, C và G,"
"or make excuses,","hay tạo ra những lý do,",hoặc viện cớ này nọ
"But broadly speaking, when psychologists use the word joy,","Nhưng nói rộng rãi, khi các nhà tâm lý học sử dụng từ niềm vui,","Nhưng đại khái khi nhà tâm lý học nói đến ""niềm vui"""
Differing ship structures and the fact that the Lusitania incident occurred in a wartime context also might have affected passenger thinking .,Những cấu trúc tàu và sự thật là sự cố Lusitania xảy ra trong một bối cảnh chiến tranh cũng có thể đã ảnh hưởng đến suy nghĩ của hành khách .,Cấu trúc tàu khác biệt và việc sự cố tàu Lusitania xảy ra trong hoàn cảnh thời chiến cũng có thể đã ảnh hưởng đến suy nghĩ của hành khách .
"Dividends differ from each other as they are to be paid in a different period of time , with the possibility of being higher as well as lower .","Các cổ tức khác nhau như họ được trả trong một khoảng thời gian khác nhau , với khả năng cao hơn cũng như thấp hơn .","Cổ tức được trả khác nhau trong những thời kỳ khác nhau , có thể là cao hơn cũng có thể là thấp hơn ."
"In violent scenes earlier , the BBC 's Mark Georgiou said there had been injuries to both police and protesters near to Westminster Abbey .","Trong những cảnh sát bạo lực trước đó , Mark Georgiou của BBC cho biết đã có tổn thương cho cả cảnh sát và người biểu tình gần Westminster Abbey .","Trong bối cảnh bạo lực trước đó , phóng viên Mark Georgiou của BBC tường thuật đã có các vụ chấn thương đối với cả cảnh sát lẫn phe biểu tình ở gần Tu viện Westminster ."
"empower them with the skills to provide behavior activation,","để giúp họ có kỹ năng cung cấp hành vi hoạt động,","trao quyền cho họ với các kỹ năng để kích hoạt hành vi,"
"when her medications made her feel weird,","khi thuốc của cô ấy làm cô cảm thấy kì lạ,",khi thuốc của cụ làm cho cụ cảm thấy kỳ lạ
"But the app has revealed major ambitions by announcing partnerships with other media firms such as state-owned VTV, VTVCab (cable TV), the Ho Chi Minh City Tourism Promotion Center, and the Da Nang Department of Tourism.","Nhưng ứng dụng này đã tiết lộ tham vọng lớn bằng cách công bố các quan hệ đối tác với các công ty truyền thông khác như VTVCab (cable TV), Trung tâm Phát triển Du lịch thành phố Hồ Chí Minh và Sở Du lịch Đà Nẵng.","Nhưng ứng dụng đã tiết lộ tham vọng lớn bằng cách công bố hợp tác với các công ty truyền thông khác như VTV, VTVCab (truyền hình cáp), Trung tâm xúc tiến du lịch thành phố Hồ Chí Minh và Sở Du lịch Đà Nẵng."
It's so easy.,Nó rất dễ dàng.,Quá dễ.
""" At constant tax rates , CPI inflation was 2.8 % in July . """,""" Tại tỷ lệ thuế liên tục , lạm phát CPI là 2,8% vào tháng bảy . """,""" Ở mức thuế không thay đổi , lạm phát CPI là 2.8% vào tháng bảy . """
"With the advent of artificial intelligence and automation,","Với sự tồn tại của trí tuệ nhân tạo và tự động hóa,","Cùng với sự xuất hiện của trí tuệ nhân tạo và tự động hoá,"
Six and a half billion suns compressed into a single point.,Sáu tỷ mặt trời được lọc vào một điểm duy nhất.,"6,5 tỷ mặt trời được nén thành một điểm duy nhất."
"I was receiving emails and messages from women all over the world,","Tôi nhận email và thông điệp từ phụ nữ trên toàn thế giới,",Tôi đã nhận được email và tin nhắn từ phụ nữ ở khắp nơi.
from their electronic medical record system.,từ hệ thống y tế điện tử của họ.,từ hệ thống dữ liệu y tế điện tử của họ.
"There 's nothing worse than receiving an attachment to an e-mail , only to find that it comes with a file extension that your computer does n't support .","Không có gì tệ hơn là nhận được một tập tin điện tử , chỉ để tìm ra rằng nó đến với một mở rộng tập tin mà máy tính của bạn không hỗ trợ .",Không có gì tệ hại hơn khi nhận được một tập tin đính kèm trong e-mail mà thấy rằng với phần mở rộng tập tin không được hỗ trợ trên máy tính của bạn .
"Because as the world's populations converge on cities,","Vì khi dân số thế giới tương tác với thành phố,","Lý do đó là, khi sự đô thị hoá được đẩy mạnh,"
So now I keep a small box crudely made of scraps of wood on the piano in my living room and only smile as inquiring friends raise quizzical eyebrows when I explain to them that there is love in it .,Vì vậy giờ tôi giữ một hộp nhỏ được tạo ra từ những gỗ gỗ trên gỗ trong phòng khách và chỉ cười khi nhìn bạn bè nhìn mắt nhìn những nụ cười nặng nề khi tôi giải thích cho họ rằng có tình yêu trong nó .,Và tới bây giờ tôi vẫn giữ chiếc hộp nhỏ được làm cẩu thả từ những miếng gỗ phế liệu trên cây đàn dương cầm trong phòng khách của tôi và chỉ mỉm cười khi những người bạn tò mò nhíu mày nghi ngại khi tôi giải thích cho họ rằng trong chiếc hộp đó có chứa tình yêu .
I actually wasn't sure if we would find any sea biscuits,Tôi thực sự không chắc liệu chúng ta có tìm thấy bánh mì biển,Không chắc rằng chúng tôi có thể tìm thấy bất kì con sea biscuit
"very, very quickly.","rất, rất nhanh.","rất, rất nhanh."
"So , if you're planning a trip back to Regret City , please cancel all those reservations now .","Vì vậy , nếu bạn đang lên kế hoạch chuyến đi trở lại thành phố Rêt , hãy hủy tất cả các chuyến lịch đó .","Vì vậy , nếu bạn đang lập kế hoạch du lịch đến Thành phố Hối tiếc , vui lòng hủy bỏ mọi việc đăng ký trước ngay lúc này ."
"This seemed like a very private process , but there 's always some brave soul in the crowd who will volunteer .","Điều này dường như là một quá trình rất riêng tư , nhưng luôn có một linh hồn lòng tình nguyện trong đám đông .","Điều này có vẻ riêng tư 0 , tuy nhiên luôn có những người dũng cảm xung phong thực hiện ."
"These two death cases are the first Vietnamese in the world that have been killed by the Covid-19 epidemic, which is affecting 173 countries and territories and has claimed lives of almost 9,000.","Hai trường hợp tử vong này là những người Việt Nam đầu tiên trên thế giới bị giết bởi dịch Covid-19, đang ảnh hưởng đến 173 quốc gia và vùng lãnh thổ và đã tuyên bố sống gần 9.000 người.",Hai trường hợp tử vong này là những người Việt Nam đầu tiên trên thế giới đã tử vong bởi dịch Covid-19 đang ảnh hưởng đến 173 quốc gia và vùng lãnh thổ và đã cướp đi sinh mạng của gần 9.000 người.
"""there are about 700 ventilators across private hospitals"""".""","""Có khoảng 700 máy thở trên các bệnh viện tư nhân"""".""","""Đã khoảng 700 máy thở qua các bệnh viên tư nhân""""."""
"like memory problems and problems with cognition,","như các vấn đề trí nhớ và các vấn đề về nhận thức,",như vấn đề về trí nhớ và vấn đề về nhận thức
"At any given time , 85 % of the hair is growing , and the remainder is resting .","Bất kỳ lúc nào , 85% tóc đang phát triển , và những tóc còn lại đang nghỉ ngơi .","Tại một thời điểm nhất định nào đó , thì trên đầu chúng ta luôn có 85% tóc đang phát triển , và phần còn lại đang ở giai đoạn ngừng phát triển ."
"We tested this at 30 different pilots in public,","Chúng tôi thử nghiệm điều này tại 30 phi công khác nhau trong công chúng,","Chúng tôi đã thử nghiệm 30 lần ở các nơi công cộng,"
The sound of the violin is very sweet.,Âm thanh của âm nhạc rất ngọt.,Tiếng đàn vi-ô-lông nghe thật êm ái.
Sophisticated tool use must develop --,Sử dụng công cụ tinh vi phải phát triển --,Những công cụ tinh vi phát triển --
Onur Oncu says he is counting on the power of the internet to resist the government’s control.,Onur Oncu cho biết ông đang đếm sức mạnh của internet để chống lại sự kiểm soát của chính phủ.,Onur Oncu chia sẻ rằng ông đang trông chờ vào sức mạnh của Internet để phản đối lại sự kiểm soát của chính phủ.
[This talk contains graphic language Viewer discretion is advised],[Bài diễn văn này bao gồm sự tính trung thành ngôn ngữ Viewer được khuyên],[Bài nói này có xuất hiện ngôn ngữ tế nhị Khán giả cân nhắc trước khi xem]
"left Jew-hating Germany, and we went to Yugoslavia.","rời Đức từng từng từng từng từng từng từng từng từng từng từng ở Đức, và chúng tôi đến xứ Xô-xtan.",rời bỏ nước Đức bài Do Thái và đến Nam Tư.
"Like, that's insane, right?","Như thế, điều đó thật tệ, phải không?","Thật khó chấp nhận, phải không?"
"I mean, maybe there's this magical moment where it changes","Ý tôi là, có lẽ có khoảnh khắc ảo thuật thay đổi","Nghĩa là, có thể có khoảnh khắc kì diệu khi chúng thay đổi"
but they're making it possible,nhưng chúng đang làm cho nó có thể,nhưng họ khiến nó thành có thế
They are a vital way for countries to raise funds .,Chúng là cách quan trọng đối với các quốc gia tăng tiền .,Chúng là một biện pháp cực kỳ quan trọng để các nước huy vốn .
"they met new people,","họ gặp những người mới,","gặp người mới,"
"Instead of ""no diving"" and ""no running,""","Thay vì ""không lừa dối"" và ""không chạy,""","Thay vì ""không lặn"",""không chạy"","
do you have a table?,bạn có một bàn không?,bạn có một cái bàn không?
"Either way, though eating well, salivating a lot, and delving into the realm of natural toothpastes and remineralization powders can’t hurt.","Dù vậy, mặc dù ăn tốt, ăn tốt, và nhìn vào tình trạng của các loại kem răng tự nhiên và phân bón hóa thạch không thể gây tổn thương.","Dù bằng cách nào: ăn uống lành mạnh, tiết nhiều nước bọt và dùng kem đánh răng có nguồn gốc tự nhiên hay bột tái khoáng hóa đều được."
is opening up these intergenerational pipelines of wisdom,đang mở ra những ống dẫn lẫn nhau của sự khôn ngoan,đang mở ra những cầu nối tri thức giữa các thế hệ
""" Exports to the United States such as autos are unlikely to keep growing , while the levels of imports will remain high , driven by purchases of natural resources , "" said Hideo Shimamine , chief economist at Daiichi Life Research Institute .",""" Xuất khẩu sang Hoa Kỳ như xe hơi không thể tiếp tục phát triển , trong khi mức nhập khẩu sẽ vẫn cao , do mua tài nguyên tự nhiên "" , Hideo Shimamine , nhà kinh tế học tại Viện Nghiên cứu Daiichi Life cho biết .","Ông Hideo Shimamine , gia kinh tế cấp cao thuộc viện nghiên cứu Daiichi Life Research Institute đã nói : "" Xuất khẩu sang Mỹ như mặt hàng ô tô sẽ không còn tiếp tục tăng trưởng trong khi nhập khẩu vẫn duy trì ở mức cao do việc thu mua các nguồn tài nguyên thiên nhiên "" ."
Princess Cruises announces restrictions on crew members and guests who have recently travelled within mainland China.,Princess Cruises công bố hạn chế cho thành viên phi hành đoàn và khách sạn đã đi du lịch trong Trung Quốc đại lục.,Princess Cruises thông báo các hạn chế đối với các thành viên phi hành đoàn và khách gần đây đã đi du lịch trong Trung Quốc đại lục.
We took it to the hospital for her to wear home .,Chúng tôi đưa nó đến bệnh viện để cô ấy mặc nhà .,Chúng tôi đem nó vào bệnh viện cho bà mặc ở nhà .
But it's actually more than just ceremonial.,Nhưng nó thực sự chỉ là lễ lễ.,Nó mang ý nghĩa nhiều hơn cả tính nghi lễ.
My whole life I’ve been fascinated by this kind of learning.,Toàn bộ cuộc đời tôi đã bị hấp dẫn bởi loại học tập này.,"Cả cuộc đời, tôi luôn cảm thấy cách học này thật tuyệt diệu."
"""""""Patient 1039"""" and """"patient 1040"""" are the two latest cases, reported in Binh Duong Province and Da Nang City on Saturday evening.""","""""""Bệnh nhân 1038"""" và """"bệnh nhân 1038"""" là hai trường hợp mới nhất, được báo cáo tại tỉnh Bình Dương và thành phố Đà Nẵng vào tối thứ Bảy.""","“Bệnh nhân 1039” và “bệnh nhân 1040” là hai trường hợp mới nhất, được báo cáo tại tỉnh Bình Dương và TP Đà Nẵng vào tối thứ Bảy."
Tom wanted something to drink.,Tom muốn uống cái gì đó.,Tom muốn uống cái gì đó.
"However, they gave a warning that temperatures would continue to rise on Thursday and that the fires in Victoria and NSW could merge again, creating huge, intense fires.","Tuy nhiên, họ cảnh báo rằng nhiệt độ sẽ tiếp tục tăng vào thứ Năm và các vụ cháy ở Victoria và NSW có thể lập nên một lần nữa, tạo ra những vụ cháy lớn, dữ dội.","Tuy nhiên, họ đã đưa ra cảnh báo rằng nhiệt độ sẽ tiếp tục tăng cao vào thứ Năm và các đám cháy ở Victoria và NSW có thể lại hợp nhất, tạo nên những đám cháy khổng lồ, dữ dội."
""" The steep decline in the jobless rate and the solid employment growth in recent months are encouraging , "" said the chairman of the Council of Economic Advisers , Austan Goolsbee , in a post on the White House blog .",""" Sự suy giảm nặng nề trong tỷ lệ việc làm và tăng trưởng việc làm nặng trong những tháng gần đây đang được khuyến khích "" , chủ tịch Hội đồng Giám đốc kinh tế Austan Goolsbee , trong một bài viết trên blog trên blog Nhà Trắng nói .","Chủ tịch của hội đồng cố vấn kinh tế Austan Goolsbee trong một bài viết trên trang blog của Nhà Trắng đã nói "" sự sụt giảm nhanh chóng của tỷ lệ thất nghiệp và sự gia tăng việc làm vững chắc trong những tháng gần đây thật đáng khích lệ "" ."
"But that's not true, because if you sleep when they do,","Nhưng điều đó không đúng, vì nếu bạn ngủ khi họ làm,","Nhưng điều đó không đúng, vì khi bạn ngủ cùng lúc với con,"
Conclusion : Most ads are a waste of the companies ' money and my time .,Kết luận : Hầu hết quảng cáo là rác thải tiền và thời gian của các công ty .,Kết luận : Đa số các quảng cáo là một sự lãng phí tiền bạc của các công ty và thời gian của tôi .
"in two words, technological innovation.","trong hai từ, sự đổi mới công nghệ.",gói gọn lại là cuộc cách tân công nghệ.
And how do we bring more of this love into our connections with our food?,Và làm thế nào để mang tình yêu này vào sự kết nối với thức ăn?,Và làm thế nào chúng ta mang tình yêu nhiều hơn vào sự gắn kết với thực phẩm?
There was a desire to have some of that glamour-- or sex appeal or whatever--,Có một số những sự mong muốn có một sự xinh đẹp - hoặc sự hấp dẫn giới tính hoặc bất cứ thứ gì--,Đó là khát khao có một cái gì đó đẹp đẽ... hay quyến rũ hay đại loại thế...
"And as you saw in the movie,","Và khi bạn thấy trong phim,",Như bạn thấy trong đoạn phim
3 . Football Association set to appoint new technical director,3 . Hiệp hội bóng đá đã tổ chức giám đốc kỹ thuật mới,3 . Hội bóng đá bắt đầu bổ nhiệm giám đốc kỹ thuật mới
The UK-based Syrian Observatory for Human Rights said the Baba Amr district came under heavy fire on Thursday .,Đại diện Hàng quan sát nhân quyền Syria tại Anh cho biết quận Baba Amr đã bị cháy nặng vào thứ Năm .,Tổ chức quan sát nhân quyền Syria tại Vương Quốc Anh cho biết quận Baba Amr đã hứng chịu hỏa lực nặng nề vào hôm thứ Năm .
I'll ask him to help me.,Tôi sẽ hỏi anh ấy giúp tôi.,Tôi sẽ nhờ anh ấy giúp.
"The deceased had a medical history of end-stage chronic kidney failure, hypertension, and gastrointestinal bleeding.","Người đã bị thương từng giai đoạn cuối, suy thận và chảy máu ruột.","Người quá cố có tiền sử suy thận mãn tính giai đoạn cuối, tăng huyết áp và xuất huyết tiêu hóa."
"As of the publishing of this post , Intel 's AppUp store is focused on netbook devices but plans to expand it to support tablets , smartphones , TV , and other computing devices .","Tính đến lúc xuất bản bài viết này , cửa hàng AppUp của Intel tập trung vào các thiết bị netbook nhưng các kế hoạch mở rộng nó để hỗ trợ máy tính bảng , điện thoại thông minh , TV , và các thiết bị điện toán khác .","Khi xuất bản bài viết này , kho ứng dụng AppUp của Intel tập trung vào các thiết bị netbook nhưng kế hoạch được mở rộng để hỗ trợ cho các máy tính bảng , điện thoại thông minh , TV và các thiết bị điện toán khác ."
The ban was extended for an additional eight days on 24 February.,Cấm được kéo dài thêm tám ngày vào ngày 24 tháng 2.,Lệnh cấm được gia hạn thêm tám ngày vào ngày 24 tháng 2.
The Global Burden of Disease Project estimates there are 1.1 billion people,Dự án Ngăn chặn Bệnh tật toàn cầu ước tính có 1.1 tỷ người,"Dự án Gánh nặng Toàn cầu do Bệnh ước tính khoảng 1,1 tỷ người"
English teachers learn new methods,Giáo viên tiếng Anh học các phương pháp mới,Giáo viên tiếng Anh học phương pháp mới
which is being fed off by bacteria.,được ăn ra bởi vi khuẩn.,vốn dùng để nuôi sống vi khuẩn.
"I screamed,","Tôi lốc lên,",tôi la ầm lên:
And we are trying to make sure we are responsive .,Và chúng tôi đang cố đảm bảo rằng chúng tôi có sự phản ứng .,Và chúng tôi đang cố đảm bảo chúng tôi đáp lại kỳ vọng đó .
Things really started to fall into place when a friend had told me that his dad - who played Santa Claus at various charitable functions in my area - would be willing to make a visit on Christmas morning to our home to deliver my Katie her presents !,Những thứ thực sự bắt đầu rơi xuống khi một người bạn đã nói với tôi rằng bố của ông - người chơi Santa Claus ở nhiều chức năng tự hào khác nhau trong khu vực của tôi - sẽ sẵn sàng đến nhà tôi để giao món quà của Katie !,Mọi thứ thực sự trở nên rõ ràng hơn khi một người bạn nói với tôi là cha của anh ấy - người đóng vai ông già Nô-en trong nhiều buổi lễ từ thiện ở khu của tôi - sẽ sẵn sàng viếng thăm nhà chúng tôi vào sáng Giáng sinh để phát quà cho con gái Katie của tôi !
So rather than encase all that variety,Nên thay vì xác định tất cả các sự khác biệt đó,Vậy nên thay vì nhốt những bản sắc riêng đó
Just the number of devices you have can be used to predict,Chỉ số thiết bị bạn có thể được sử dụng để dự đoán,Riêng số lượng thiết bị bạn sở hữu có thể dùng để phán đoán
"Unincorporated community sits between Laramie and Cheyenne , Wyoming state capital , at altitude of 8,000ft ( 2,438m ) .","Cộng đồng được sở hữu ở giữa Laramie và Cheyenne , thủ đô bang Wyoming , với độ cao 8.000ft ( 2,438 triệu bảng ) .","Khu vực chưa hợp nhất nằm giữa Laramie và Cheyenne , thủ phủ của bang Wyoming , ở độ cao 8000ft ( 2438m ) ."
The space and time themselves are combined in something called “space-time”,Không gian và thời gian được kết hợp trong một thứ gọi là “thời gian-thời gian”,"Bản thân không gian và thời gian được kết hợp thành thứ gọi là ""Không Thời Gian"""
Or what about a public art display,Hay về một bức ảnh nghệ thuật công cộng,Hoặc có ai không muốn nghệ thuật công cộng
"If you use a paper bag , be sure to create insulating layers by double bagging .","Nếu bạn dùng túi giấy , bạn nên chắc chắn sẽ tạo ra các lớp cách ly bằng cách gấp đôi .","Nếu bạn sử dụng túi giấy , hãy chắc chắn là có tạo các lớp cách điện bằng cách gấp đôi túi ."
"But its strength is related to surface area, which only increases in proportion to the square of its length, or by a factor of 2.","Nhưng sức mạnh của nó liên quan đến vùng bề mặt, chỉ tăng tỷ lệ với vùng đá của nó, hoặc bằng yếu tố 2.","Nhưng sức mạnh của động vật có liên quan đến diện tích bề mặt, mà chỉ tăng tỉ lệ với bình phương chiều dài của nó, hoặc gấp 2 lần."
But my science story doesn't have that spectacular Hollywood ending.,Nhưng câu chuyện khoa học của tôi không có kết thúc rất ấn tượng của Hollywood.,Nhưng câu chuyện khoa học của tôi không có cái kết ngoạn mục kiểu Hollywood đó.
"If the pores are blocked , then there is a definite chance that you will get acne .","Nếu lỗ được chặn , thì có cơ hội rõ ràng là bạn sẽ bị mụn trứng cá .",Nếu lỗ chân lông bị bít kín thì mụn trứng cá ắt sẽ có cơ hội phát sinh .
"Other curiosities include coffee , which goes for well less than $ 1 lb in Kuwait , about $ 2 lb in Brazil , but more than $ 14 lb in South Africa , and eggs which sell for about 40 cents in India , but nearly $ 5 in Australia .","Các thú vị khác bao gồm cà phê , có giá tốt hơn 1 tỷ đô la ở Kuwait , khoảng 2 tỷ đô la ở Brazil , nhưng hơn 14 tỷ đô la ở Nam Phi , và trứng bán được khoảng 40 xu ở Úc , nhưng gần 5 xu ở Úc .","Những điều kỳ lạ khác bao gồm cà phê , bán chạy giá chưa đến 1 đô la Mỹ cân ở Kuwait , khoảng 2 đô la Mỹ cân tại Braxin , nhưng ở Nam Phi giá gần 14 đô la Mỹ cân , và trứng bán khoảng 40 xu ở Ấn Độ , nhưng gần 5 đô la Mỹ tại Úc ."
see a 12 percent premium on their valuation.,nhìn thấy 12% giá trị của họ.,đạt được 12% thặng dư trên giá trị của họ.
* Never drink alcohol near the time when you take a sleeping pill .,* Không nên uống rượu gần thời gian khi bạn uống thuốc ngủ .,* Đừng bao giờ uống rượu bia gần giờ uống thuốc ngủ .
The family has not heard from him since that call.,Gia đình đã không nghe được gì từ anh ấy kể từ cuộc gọi đó.,Cả gia đình không còn nghe tin tức gì về anh kể từ cuộc gọi đó.
"Yet, if there is no measure to prevent cross-infection, there would be transmission risk among those kept at centralized quarantine camps.","Tuy nhiên, nếu không có biện pháp ngăn ngừa lây nhiễm chéo, sẽ có nguy cơ lây truyền ở những trại cách ly tập trung.","Dù vậy, nếu không có biện pháp ngăn chặn lây nhiễm chéo, sẽ có nguy cơ lây nhiễm giữa những người bị giữ tại trạm cách ly tập trung."
Towards The Present,Về hiện tại,Những năm gần đây
